key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,3.2361,0,35,35,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,3.1292,0,36,36,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,2.0017,0,37,37,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.4967,0,38,38,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.9397,0,39,39,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,3.3649,0,40,40,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.2716,0,41,41,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.4925,0,42,42,42,1,5000,0,56000,29
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,2.6981,0,43,43,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,2.4668,0,44,44,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,6.7552,0,45,45,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,1.9607,0,46,46,80,1,25000,0,35000,90
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.6913,0,47,47,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,2.0547,0,48,48,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,3.4983,0,49,49,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,3.2164,0,50,50,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.2092,0,51,51,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,1.9762,0,52,52,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,2.42,0,53,53,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.1389,0,54,54,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,0,2.5744,0,55,55,15,1,10000,0,20000,59
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,1,1.583,0,56,56,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,right,1,1.3496,0,57,57,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,002,155,2022-03-28_21h34.13.801,tareaTDv3,2020.2.5,Win32,60,IwAR0i0b38XuotkVXlZ-fFl4mQM23wZhk3n7VsWre_AyFOkrcYpHCiI9ReV-E,,,left,0,2.7924,0,58,58,47,1,5000,0,56000,60
