Performance,RT,ProbRatio,NumRatio,DenRatio,AreaCtl,WinSide1,WinSide2,DenSide1,DenSide2,ProbSide1,ProbSide2,sideR,subID
0,0.32963,0.66667,0.75,0.5,2,8,6,32,16,0.25,0.375,1,1
0,0.19619,0.66667,0.4,0.26667,2,6,15,8,30,0.75,0.5,2,1
1,0.29165,1,0.57143,0.57143,2,14,8,28,16,0.5,0.5,1,1
0,0.27617,0.66667,0.375,0.25,2,3,8,8,32,0.375,0.25,2,1
1,0.25859,1,0.28571,0.28571,2,21,6,28,8,0.75,0.75,1,1
1,0.30206,0.5,0.083333,0.16667,1,12,1,24,4,0.5,0.25,1,1
0,0.29466,0.8,1,0.8,1,10,10,20,16,0.5,0.625,1,1
0,0.31226,0.5,0.3,0.6,2,3,10,12,20,0.25,0.5,1,1
0,0.24715,1,0.875,0.875,1,14,16,28,32,0.5,0.5,2,1
1,0.25593,1,0.42857,0.42857,2,9,21,12,28,0.75,0.75,1,1
0,0.30639,1,0.8125,0.8125,1,13,16,26,32,0.5,0.5,2,1
0,0.2907,0.8,0.625,0.5,2,24,15,32,16,0.75,0.9375,1,1
0,0.33532,0.5,0.5,0.25,1,6,12,8,32,0.75,0.375,2,1
0,0.20774,0.5,0.375,0.1875,2,8,3,32,6,0.25,0.5,1,1
0,0.1064,0.8,0.625,0.5,1,5,8,16,32,0.3125,0.25,2,1
0,0,0.66667,0.25,0.16667,2,3,12,4,24,0.75,0.5,0,1
1,0.55826,0.8,0.83333,0.66667,2,15,18,16,24,0.9375,0.75,1,1
0,0.36669,1,0.85714,0.85714,2,21,18,28,24,0.75,0.75,2,1
1,0.38216,0.66667,0.9,0.6,2,10,9,20,12,0.5,0.75,2,1
1,0.40181,0.8,0.625,0.5,1,15,24,16,32,0.9375,0.75,1,1
0,0.35315,0.66667,0.5,0.75,1,12,6,32,24,0.375,0.25,2,1
1,0.73678,0.5,0.25,0.5,1,1,4,4,8,0.25,0.5,2,1
0,0.35293,1,1,1,1,1,1,4,4,0.25,0.25,2,1
1,0.36849,0.5,0.375,0.75,2,24,9,32,24,0.75,0.375,1,1
