trial_type,time_elapsed,internal_node_id,bonus,subject,practice,trial,n_pumps,limit,outcome,value,information_seeking,emo_rating_1,winnings,emo_rating_2,stimulus,age,gender,final_outcome,final_fb,emo_diff,missed
balloon-inflate,361492,0.0-7.0-2.0,1.4,190,FALSE,10,7,11,bank,20,FALSE,178,1.4,176,NA,32,female,bank,FALSE,-2,4
balloon-inflate,286106,0.0-7.0-2.0,0.8,191,FALSE,10,4,6,bank,20,TRUE,144,0.8,58,NA,25,male,bank,TRUE,-86,2
balloon-inflate,1498203,0.0-7.0-2.0,0.8,192,FALSE,10,4,6,bank,20,FALSE,179,0.8,127,NA,35,male,bank,FALSE,-52,2
balloon-inflate,171707,0.0-7.0-2.0,1,193,FALSE,10,5,5,bank,20,FALSE,0,1,0,NA,28,male,bank,FALSE,0,0
balloon-inflate,190823,0.0-7.0-2.0,0,194,FALSE,10,6,5,bust,20,FALSE,-77,0,NA,NA,60,female,bust,FALSE,NA,-1
balloon-inflate,293946,0.0-7.0-2.0,0.8,195,FALSE,10,4,7,bank,20,FALSE,58,0.8,70,NA,35,female,bank,FALSE,12,3
balloon-inflate,247484,0.0-7.0-2.0,0.6,196,FALSE,10,3,11,bank,20,FALSE,200,0.6,86,NA,53,female,bank,FALSE,-114,8
balloon-inflate,295620,0.0-7.0-2.0,1.2,197,FALSE,10,6,7,bank,20,TRUE,49,1.2,-44,NA,21,female,bank,TRUE,-93,1
balloon-inflate,343540,0.0-7.0-2.0,1.2,198,FALSE,10,6,8,bank,20,TRUE,200,1.2,121,NA,41,male,bank,TRUE,-79,2
balloon-inflate,268700,0.0-7.0-2.0,0,199,FALSE,10,4,0,bust,20,FALSE,200,0,NA,NA,27,female,bust,FALSE,NA,-4
balloon-inflate,379794,0.0-7.0-2.0,0,200,FALSE,10,6,4,bust,20,FALSE,-19,0,NA,NA,45,male,bust,FALSE,NA,-2
balloon-inflate,696833,0.0-7.0-2.0,0,201,FALSE,10,8,7,bust,20,FALSE,-32,0,NA,NA,29,female,bust,FALSE,NA,-1
balloon-inflate,232314,0.0-7.0-2.0,1,202,FALSE,10,5,12,bank,20,TRUE,69,1,28,NA,40,male,bank,TRUE,-41,7
balloon-inflate,166879,0.0-7.0-2.0,0,203,FALSE,10,5,4,bust,20,FALSE,-200,0,NA,NA,20,female,bust,FALSE,NA,-1
balloon-inflate,227285,0.0-7.0-2.0,0.6,204,FALSE,10,3,7,bank,20,TRUE,72,0.6,48,NA,38,male,bank,TRUE,-24,4
balloon-inflate,333345,0.0-7.0-2.0,1,205,FALSE,10,5,8,bank,20,TRUE,193,1,-34,NA,39,female,bank,TRUE,-227,3
balloon-inflate,504370,0.0-7.0-2.0,1,206,FALSE,10,5,12,bank,20,TRUE,200,1,200,NA,34,female,bank,TRUE,0,7
